+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
| Non-Terminal  | !=            | $             | %             | &&            | *             | +             | -             | /             | 0             | 1             | 2             | 3             | 4             | 5             | 6             | 7             | 8             | 9             | :             | :=            | <             | <rest_arguments>| =             | =:=           | >             | >>            | [             | [+-]?         | [a-zA-Z]      | ]             | ]:            | _             | agar          | asm           | auto          | bool          | break         | case          | catch         | char          | class         | const         | continue      | default       | delete        | do            | double        | else          | enum          | explicit      | export        | extern        | false         | float         | for           | friend        | goto          | if            | inline        | int           | long          | loop          | magar         | mutable       | namespace     | new           | operator      | private       | protected     | public        | register      | return        | short         | signed        | sizeof        | static        | struct        | switch        | this          | throw         | true          | try           | typedef       | typeid        | typename      | union         | unsigned      | using         | virtual       | void          | volatile      | while         | {             | ||            | }             | }]            | ε            |
+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
| <program>     |  <program>'   | sync          |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   | -             |  <program>'   | -             |  <program>'   | -             |  <program>'   |  <program>'   |  <program>'   | <number>      |  <program>'   |  <program>'   | -             |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   |  <program>'   | -             | -             |
| <declaration> | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          |  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :|  <type> <identifier> :| -             | -             | -             | -             | -             |
| <MinusOp>'    | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | ε            |
| <statements>  | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <statement> <statements>|  <statement> <statements>|  <statement> <statements>| -             | -             |  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>|  <statement> <statements>| -             | -             | sync          | sync          | -             |
| <term>        | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | sync          | -             | sync          | -             | -             | sync          |  <term>'      |  <term>'      |  <term>'      | -             | -             |  <term>'      | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | -             | -             | sync          |
| <loop>        | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          |  loop [ <expression> ] { <statements> }| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             |
| <keyword>'    | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | agar          | asm           | auto          | bool          | break         | case          | catch         | char          | class         | const         | continue      | default       | delete        | do            | double        | else          | enum          | explicit      | export        | extern        | false         | float         | for           | friend        | goto          | if            | inline        | int           | long          | loop          | magar         | mutable       | namespace     | new           | operator      | private       | protected     | public        | register      | return        | short         | signed        | sizeof        | static        | struct        | switch        | this          | throw         | true          | try           | typedef       | typeid        | typename      | union         | unsigned      | using         | virtual       | void          | volatile      | while         | -             | -             | -             | -             | -             |
| <conditional> | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          |  if [ <expression> ] { <statements> } [else { <statements> }]| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             |
| <statement>   | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <statement>' |  <statement>' |  <statement>' | -             | -             |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' |  <statement>' | -             | -             | -             | -             | -             |
| <PlusOp>      | -             | sync          | -             | -             | -             |  <PlusOp>'    | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          | sync          | -             | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             |  <PlusOp>'    |
| <program>'    | <operator>    | sync          | <operator>    | <operator>    | <operator>    | <operator>    | <operator>    | <operator>    | <digit>       | <digit>       | <digit>       | <digit>       | <digit>       | <digit>       | <digit>       | <digit>       | <digit>       | <digit>       | <operator>    | -             | <punctuation> | -             | <operator>    | -             | <punctuation> | <operator>    | <punctuation> | <term>        | <letter>      | <punctuation> | -             | <identifier>  | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <type>        | <punctuation> | <operator>    | <punctuation> | -             | -             |
| <assignment>  | -             | sync          | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | -             | sync          | sync          |  <identifier> =:= <expression> :| -             | -             |  <identifier> =:= <expression> :| sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | sync          | -             | -             | -             | -             | -             |
