Token Value         Token Type          
----------------------------------------
!=                  Operator            
<                   Punctuation         
>                   Punctuation         
=:=                 Operator            
==                  Operator            
*                   Operator            
+                   Operator            
/                   Operator            
-                   Operator            
>                   Punctuation         
>                   Punctuation         
<                   Punctuation         
<                   Punctuation         
++                  Operator            
=+                  Operator            
&&                  Operator            
||                  Operator            
=>                  Operator            
=<                  Operator            
%                   Operator            
:                   Operator            
::                  Operator            
--                  Operator            
++                  Operator            
[                   Punctuation         
{                   Punctuation         
<                   Punctuation         
>                   Punctuation         
}                   Punctuation         
]                   Punctuation         
[                   Punctuation         
]                   Punctuation         
_x                  Identifier          
--                  Operator            
--                  Operator            
_x                  Identifier          
.12                 Number              
0.1                 Number              
123                 Number              
10510               Number              
3.413E-13           Number              
3.41E10             Number              
++                  Operator            
loop                Keyword             
{                   Punctuation         
int                 Keyword             
_x                  Identifier          
10                  Number              
int                 Keyword             
_rate2              Identifier          
5                   Number              
float               Keyword             
_rate               Identifier          
=+                  Operator            
3.14                Number              
bool                Keyword             
_status             Identifier          
:                   Operator            
true                Keyword             
if                  Keyword             
_status             Identifier          
{                   Punctuation         
for                 Keyword             
int                 Keyword             
0                   Number              
<                   Punctuation         
5                   Number              
++                  Operator            
{                   Punctuation         
_rate               Identifier          
0.1                 Number              
_rate2              Identifier          
2                   Number              
}                   Punctuation         
double              Keyword             
_value              Identifier          
3.43433E+13         Number              
_value              Identifier          
-2.56E-4            Number              
_value              Identifier          
1.0                 Number              
}                   Punctuation         
int                 Keyword             
_result             Identifier          
10                  Number              
+                   Operator            
20                  Number              
_result             Identifier          
5                   Number              
_result             Identifier          
100                 Number              
_result             Identifier          
3                   Number              
if                  Keyword             
_status             Identifier          
&&                  Operator            
_result             Identifier          
>                   Punctuation         
0                   Number              
{                   Punctuation         
_x                  Identifier          
1                   Number              
}                   Punctuation         
while               Keyword             
_x                  Identifier          
>                   Punctuation         
0                   Number              
{                   Punctuation         
_x                  Identifier          
--                  Operator            
if                  Keyword             
_x                  Identifier          
%                   Operator            
2                   Number              
==                  Operator            
0                   Number              
{                   Punctuation         
break               Keyword             
}                   Punctuation         
}                   Punctuation         
switch              Keyword             
_result             Identifier          
{                   Punctuation         
case                Keyword             
0                   Number              
:                   Operator            
continue            Keyword             
case                Keyword             
1                   Number              
:                   Operator            
break               Keyword             
default             Keyword             
:                   Operator            
_result             Identifier          
42                  Number              
}                   Punctuation         
_result             Identifier          
_x                  Identifier          
<                   Punctuation         
<                   Punctuation         
2                   Number              
_result             Identifier          
_x                  Identifier          
>                   Punctuation         
>                   Punctuation         
1                   Number              
_result             Identifier          
==                  Operator            
5                   Number              
}                   Punctuation         
